
habiby ,65 state street  ,0 ,2128 ,0 ,343.73
fgf ,dfgd ,2 ,45435 ,1 ,370.369075
mohammed ,56tr ,1 ,78686 ,1 ,370.369075
mohammed ,56tr ,1 ,78686 ,1 ,371.73
mohammed ,56tr ,1 ,78686 ,1 ,370.369075
mohammed ,56tr ,1 ,78686 ,0 ,370.369075
mohammed ,56tr ,1 ,78686 ,0 ,370.369075
mohammed ,56tr ,1 ,78686 ,0 ,370.369075
mohammed ,56tr ,1 ,78686 ,0 ,370.369075
mohammed ,56tr ,1 ,78686 ,1 ,370.369075
mohammed ,56tr ,1 ,78686 ,2 ,370.369075
mohammed ,56tr ,2 ,78686 ,2 ,370.369075
mohammed ,56tr ,2 ,78686 ,2 ,371.73
mohammed ,56tr ,1 ,78686 ,2 ,371.73
mohammed ,56tr ,1 ,78686 ,2 ,371.73
mohammed ,56tr ,1 ,78686 ,2 ,371.73
med ,56 ct st ,1 ,3245 ,1 ,254.688675
med ,56 ct st ,1 ,3245 ,1 ,254.688675
med ,56 ct st ,1 ,3245 ,1 ,254.688675
med ,56 ct st ,1 ,3245 ,1 ,254.688675
med ,56 ct st ,2 ,3245 ,1 ,254.688675
med ,56 ct st ,4 ,3245 ,1 ,254.688675
med ,56 ct st ,2 ,3245 ,1 ,254.688675
med ,56 ct st ,2 ,3245 ,1 ,254.688675
med ,56 ct st ,4 ,3245 ,1 ,550.02
med ,dgfsdf ,0 ,23423 ,1 ,347.461425
med ,dgfsdf ,1 ,23423 ,1 ,350.47
med ,dgfsdf ,1 ,23423 ,1 ,264.37
med ,dgfsdf ,2 ,23423 ,2 ,249.02
med ,efffsd ,1 ,31242 ,1 ,254.688675
med ,efffsd ,1 ,31242 ,1 ,264.37
med ,efffsd ,1 ,31242 ,1 ,264.37
med ,efffsd ,1 ,31242 ,1 ,264.37
med ,efffsd ,1 ,31242 ,1 ,550.02
med ,efffsd ,1 ,31242 ,1 ,399.10
med ,efffsd ,1 ,31242 ,1 ,399.10
med ,efffsd ,1 ,31242 ,1 ,399.10
med ,efffsd ,1 ,31242 ,1 ,399.10
med ,efffsd ,1 ,31242 ,1 ,399.10
med ,efffsd ,1 ,31242 ,1 ,399.10
med ,efffsd ,1 ,31242 ,1 ,399.10
med ,efffsd ,2 ,31242 ,1 ,399.86025
med ,efffsd ,2 ,31242 ,2 ,383.320625
mohammed ,45fgdggdf ,0 ,34253 ,0 ,370.369075
mohammed ,45fgdggdf ,0 ,34253 ,1 ,347.461425
mohammed ,45fgdggdf ,1 ,34253 ,1 ,350.47
mohammed ,45fgdggdf ,1 ,34253 ,1 ,350.47
mohammed ,45fgdggdf ,2 ,34253 ,2 ,335.12
mohammed ,45fgdggdf ,2 ,34253 ,2 ,309.03
fgdfg ,dfsdf ,1 ,9 ,1 ,254.688675
fgdfg ,dfsdf ,1 ,9 ,1 ,254.688675
fgdfg ,dfsdf ,1 ,9 ,1 ,254.688675
fgdfg ,dfsdf ,1 ,9 ,1 ,254.688675
fgdfg ,dfsdf ,1 ,9 ,1 ,264.37
fgdfg ,dfsdf ,1 ,9 ,1 ,264.37
